구분,화장실명,소재지도로명주소,소재지지번주소,남녀공용화장실여부,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,설치년월,위도,경도,화장실소유구분,화장실설치장소유형,오물처리방식,비상벨 설치유형,화장실입구cctv설치유무,기저귀교환대장소,리모델링년월,데이터기준일자
공중화장실,까치,수원시 팔달구 동수원로 399(인계동),수원시 팔달구 인계동 1117,N,2,3,0,0,0,0,2,0,5,수원시 팔달구 녹지공원과,031-228-7043,24시간,,,,지방자치단체,기타,수세식,여자,Y,없음,,2020.9.3
공중화장실,청소년문화,,수원시 팔달구 인계동 351-1,N,2,3,1,0,0,1,7,1,4,수원시 팔달구 녹지공원과,031-228-7043,24시간,,,,지방자치단체,기타,수세식,여자,Y,여자화장실,,2020.9.3
공중화장실,황새말,수원시 팔달구 정자천로14번길 49(화서동),수원시 팔달구 화서동 715,N,3,2,0,0,0,0,3,0,3,수원시 팔달구 녹지공원과,031-228-7043,24시간,,,,지방자치단체,기타,수세식,여자,Y,여자화장실,,2020.9.3
공중화장실,낙조,,수원시 팔달구 화서동 436-1,N,2,3,1,0,0,0,5,1,2,수원시 팔달구 녹지공원과,031-228-7043,24시간,,,,지방자치단체,기타,수세식,여자,Y,여자화장실,,2020.9.3
공중화장실,백로,,수원시 팔달구 화서동 436-1,N,2,3,1,0,0,0,5,1,1,수원시 팔달구 녹지공원과,031-228-7043,24시간,,,,지방자치단체,기타,수세식,여자,Y,여자화장실,,2020.9.3
공중화장실,서호꽃뫼,,수원시 팔달구 화서동 433-6,N,1,1,0,0,0,0,3,0,0,수원시 팔달구 녹지공원과,031-228-7043,24시간,,,,지방자치단체,기타,수세식,여자,Y,여자화장실,,2020.9.3
공중화장실,숙지,수원시 팔달구 화양로68번길 7-40(화서동),수원시 팔달구 화서동 259-14,N,2,4,1,0,0,1,3,1,1,수원시 팔달구 녹지공원과,031-228-7043,24시간,,,,지방자치단체,기타,수세식,여자,Y,여자화장실,,2020.9.3
공중화장실,해누리,수원시 팔달구 수인로341번길 17(입북동),수원시 팔달구 입북동 818,N,1,1,0,0,0,0,1,0,0,수원시 권선구 녹지공원과,031-228-6193,24시간,,,,지방자치단체,기타,수거식,여자,Y,없음,,2020.9.3
공중화장실,간이,수원시 팔달구 구운로14번길 42(구운동),수원시 팔달구 구운동 501,N,1,1,0,0,0,0,1,0,0,수원시 권선구 녹지공원과,031-228-6193,24시간,,,,지방자치단체,기타,수거식,여자,Y,없음,,2020.9.3
공중화장실,문화,수원시 팔달구 권중로50번길 5(권선동),수원시 팔달구 권선동 1252,N,1,2,1,0,0,0,2,1,0,수원시 권선구 녹지공원과,031-228-6193,24시간,,,,지방자치단체,기타,수세식,여자,N,없음,,2020.9.3
공중화장실,고래의 모험,수원시 팔달구 덕영대로1070번길 56(세류동),수원시 팔달구 세류동 1066-9,N,2,2,0,0,0,0,4,0,0,수원시 권선구 녹지공원과,031-228-6193,24시간,,,,지방자치단체,기타,수세식,여자,N,없음,,2020.9.3
공중화장실,곳집말,,수원시 권선구 오목천동 1179,N,2,2,1,1,0,0,5,1,0,수원시 권선구 녹지공원과,031-228-6193,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,까치,수원시 권선구 당진로31번길 51-20(당수동),수원시 권선구 당수동 292-1,N,2,2,0,0,0,0,4,0,0,수원시 권선구 녹지공원과,031-228-6193,09~18시,,,,지방자치단체,기타,수세식,여자,N,없음,,2020.9.3
공중화장실,꿈이랑,수원시 권선구 경수대로 169(권선동),수원시 권선구 권선동 1343,N,1,1,1,0,0,0,2,1,0,수원시 권선구 녹지공원과,031-228-6193,09~18시,,,,지방자치단체,기타,수세식,여자,Y,없음,,2020.9.3
공중화장실,권선3지구 4호,수원시 권선구 덕영대로1323번길 26-7(권선동),수원시 권선구 권선동 1319,N,2,2,0,0,0,0,3,0,0,수원시 권선구 녹지공원과,031-228-6193,09~18시,,,,지방자치단체,기타,수세식,여자,N,없음,,2020.9.3
공중화장실,어공6호,수원시 권선구 권중로120번길 17(권선동),수원시 권선구 권선동 1275,N,1,1,0,0,0,0,1,0,0,수원시 권선구 녹지공원과,031-228-6193,09~18시,,,,지방자치단체,기타,수세식,여자,Y,없음,,2020.9.3
공중화장실,어공7호,수원시 권선구 권중로 136(권선동),수원시 권선구 권선동 1273,N,1,1,0,0,0,0,1,0,0,수원시 권선구 녹지공원과,031-228-6193,09~18시,,,,지방자치단체,기타,수세식,여자,N,없음,,2020.9.3
공중화장실,어공5호,수원시 권선구 권중로 110(권선동),수원시 권선구 권선동 1264,N,1,1,0,0,0,0,1,0,0,수원시 권선구 녹지공원과,031-228-6193,09~18시,,,,지방자치단체,기타,수세식,여자,N,없음,,2020.9.3
공중화장실,어공4호,수원시 권선구 권중로76번길 23(권선동),수원시 권선구 권선동 1261,N,1,1,0,0,0,0,1,0,0,수원시 권선구 녹지공원과,031-228-6193,09~18시,,,,지방자치단체,기타,수세식,여자,Y,없음,,2020.9.3
공중화장실,어공9호,수원시 권선구 매탄로 11(권선동),수원시 권선구 권선동 1239,N,1,1,0,0,0,0,1,0,0,수원시 권선구 녹지공원과,031-228-6193,09~18시,,,,지방자치단체,기타,수세식,여자,Y,없음,,2020.9.3
공중화장실,어공8호,수원시 권선구 권중로25번길 29-10(권선동),수원시 권선구 권선동 1232,N,1,1,0,0,0,0,1,0,0,수원시 권선구 녹지공원과,031-228-6193,09~18시,,,,지방자치단체,기타,수세식,여자,Y,없음,,2020.9.3
공중화장실,어공3호,수원시 권선구 경수대로302번길 32(권선동),수원시 권선구 권선동 1188-2,N,1,1,0,0,0,0,2,0,0,수원시 권선구 녹지공원과,031-228-6193,09~18시,,,,지방자치단체,기타,수세식,여자,N,없음,,2020.9.3
공중화장실,어공1호,수원시 권선구 권광로 55(권선동),수원시 권선구 권선동 1185-2,N,1,1,0,0,0,0,1,0,0,수원시 권선구 녹지공원과,031-228-6193,09~18시,,,,지방자치단체,기타,수세식,여자,N,없음,,2020.9.3
공중화장실,아우름,수원시 권선구 권광로 55(권선동),수원시 권선구 권선동 1067-19,N,1,1,0,0,0,0,2,0,0,수원시 권선구 녹지공원과,031-228-6193,09~18시,,,,지방자치단체,기타,수세식,여자,Y,없음,,2020.9.3
공중화장실,장교둑,수원시 권선구 세지로82번길 7-15(구운동),수원시 권선구 권선동 980,N,1,2,0,0,0,0,1,0,0,수원시 권선구 녹지공원과,031-228-6193,09~18시,,,,지방자치단체,기타,수세식,여자,N,없음,,2020.9.3
공중화장실,구운2호,수원시 권선구 금호로189번길(구운동),수원시 권선구 구운동 524,N,1,1,0,0,0,0,1,0,0,수원시 권선구 녹지공원과,031-228-6193,09~18시,,,,지방자치단체,기타,수세식,여자,N,없음,,2020.9.3
공중화장실,구운1호,수원시 권선구 구운로86번길 20-21(구운동),수원시 권선구 구운동 487,N,1,1,0,0,0,0,1,0,0,수원시 권선구 녹지공원과,031-228-6193,09~18시,,,,지방자치단체,기타,수세식,여자,N,없음,,2020.9.3
공중화장실,매화,,수원시 권선구 금곡동 1148,N,3,3,6,3,0,1,6,6,0,수원시 권선구 녹지공원과,031-228-6193,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,바람소리,수원시 권선구 당수로48번길 160-28(금곡동),수원시 권선구 금곡동 1068,N,2,2,0,0,0,1,5,0,0,수원시 권선구 녹지공원과,031-228-6193,24시간,,,,지방자치단체,기타,수세식,여자,Y,없음,,2020.9.3
공중화장실,두레뜰,수원시 권선구 금곡로118번길 36(금곡동),수원시 권선구 금곡동 1092,N,3,3,1,1,0,0,8,1,1,수원시 권선구 녹지공원과,031-228-6193,24시간,,,,지방자치단체,기타,수세식,여자,Y,여자화장실,,2020.9.3
공중화장실,어울림,수원시 권선구 금곡로 236(금곡동),수원시 권선구 금곡동 1126,N,2,3,1,1,0,1,7,1,1,수원시 권선구 녹지공원과,031-228-6193,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,물빛찬,수원시 권선구 금곡로 190(금곡동),수원시 권선구 금곡동 1120,N,2,4,1,1,0,1,8,1,1,수원시 권선구 녹지공원과,031-228-6193,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,물향기,수원시 권선구 칠보로 142(호매실동),수원시 권선구 호매실동 1382,N,3,4,0,0,1,0,9,0,1,수원시 권선구 녹지공원과,031-228-6193,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,은하수,,수원시 권선구 평동 45-13,N,2,3,0,0,0,0,5,0,0,수원시 권선구 녹지공원과,031-228-6193,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,대부둑,수원시 권선구 호매실로 46-16(고색동),수원시 권선구 고색동 896-16,N,3,2,1,1,1,1,8,1,0,수원시 권선구 녹지공원과,031-228-6193,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,당수,수원시 권선구 당진로32번길 49(당수동),수원시 권선구 당수동 162-1,N,2,4,0,0,0,0,9,0,0,수원시 권선구 녹지공원과,031-228-6193,24시간,,,,지방자치단체,기타,수세식,여자,Y,여자화장실,,2020.9.3
공중화장실,고렴,수원시 권선구 동수원로146번길(곡반정동),수원시 권선구 곡반정동 546,N,3,2,1,0,0,0,3,1,0,수원시 권선구 녹지공원과,031-228-6193,24시간,,,,지방자치단체,기타,수세식,여자,N,없음,,2020.9.3
공중화장실,마중생태,수원시 권선구 정조로 330(곡반정동),수원시 권선구 권선동 1344(마중공원),N,2,1,1,0,1,1,3,1,1,수원시 권선구 녹지공원과,031-228-6193,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,마중광장,수원시 권선구 정조로 330(권선동),수원시 권선구 권선동 1344(마중공원 광장),N,1,2,1,0,0,0,2,1,0,수원시 권선구 녹지공원과,031-228-6193,24시간,,,,지방자치단체,기타,수세식,여자,N,없음,,2020.9.3
공중화장실,권선,수원시 권선구 동탄원천로 818(권선동),수원시 권선구 권선동 1310,N,3,6,0,0,0,0,5,0,0,수원시 권선구 녹지공원과,031-228-6193,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,샛길,수원시 권선구 권중로 66(권선동),수원시 권선구 권선동 1269(권선중앙공원 중앙),N,2,4,0,0,0,0,3,0,0,수원시 권선구 녹지공원과,031-228-6193,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,도토리,수원시 권선구 권중로 66(권선동),수원시 권선구 권선동 1269(권선중앙공원 배드민턴장 옆),N,1,1,0,0,0,0,2,0,0,수원시 권선구 녹지공원과,031-228-6193,24시간,,,,지방자치단체,기타,수세식,여자,N,없음,,2020.9.3
공중화장실,나그네,수원시 권선구 덕영대로1207번길 26-8(권선동),수원시 권선구 권선동 1198,N,2,2,0,0,0,0,2,0,0,수원시 권선구 녹지공원과,031-228-6193,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,올림피아,수원시 권선구 효원로 256번길(권선동),수원시 권선구 권선동 1012(올림픽공원),N,2,3,1,1,0,1,3,1,0,수원시 권선구 녹지공원과,031-228-6193,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,인도래,수원시 권선구 효원로 256번길(권선동),수원시 권선구 권선동 1012(올림픽공원 테니스장앞),N,2,3,0,0,0,0,4,0,0,수원시 권선구 녹지공원과,031-228-6193,24시간,,,,지방자치단체,기타,수세식,여자,N,없음,,2020.9.3
공중화장실,오목호수,,수원시 권선구 오목천동 1171,N,1,2,1,1,0,0,6,1,0,수원시 권선구 녹지공원과,031-228-6193,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,탑동,수원시 권선구 탑동로57번길 35(탑동),수원시 권선구 탑동 746-1,N,2,1,1,1,0,0,3,1,0,수원시 권선구 녹지공원과,031-228-6193,24시간,,,,지방자치단체,기타,수세식,여자,Y,없음,,2020.9.3
공중화장실,군들,수원시 권선구 구운로14번길 42(구운동),수원시 권선구 구운동 501,N,2,3,1,0,0,1,3,1,0,수원시 권선구 녹지공원과,031-228-6193,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,여기산2(동),,수원시 권선구 서둔동 365,N,4,3,1,0,0,0,4,1,0,수원시 권선구 녹지공원과,031-228-6193,24시간,,,,지방자치단체,기타,수세식,여자,Y,없음,,2020.9.3
공중화장실,여기산1(서),수원시 권선구 여기산로26번길 30(서둔동),수원시 권선구 서둔동 256,N,2,3,1,0,0,0,3,1,0,수원시 권선구 녹지공원과,031-228-6193,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,오목내,수원시 권선구 서부로 1433-3(고색동),수원시 권선구 고색동 992,N,1,2,1,0,0,0,2,1,0,수원시 권선구 녹지공원과,031-228-6193,24시간,,,,지방자치단체,기타,수세식,여자,N,없음,,2020.9.3
공중화장실,물레방아,수원시 권선구 오목천로 96(고색동),수원시 권선구 고색동 980,N,1,4,1,0,0,0,3,1,0,수원시 권선구 녹지공원과,031-228-6193,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,들바람,수원시 권선구 산업로92번길 105(고색동),수원시 권선구 고색동 931,N,1,2,0,0,0,0,2,0,0,수원시 권선구 녹지공원과,031-228-6193,24시간,,,,지방자치단체,기타,수세식,여자,Y,없음,,2020.9.3
공중화장실,배다리,수원시 권선구 산업로 156번길(고색동),수원시 권선구 고색동 680,N,2,3,1,1,0,0,5,1,1,수원시 권선구 녹지공원과,031-228-6193,24시간,,,,지방자치단체,기타,수세식,여자,Y,여자화장실,,2020.9.3
공중화장실,중보들B,수원시 권선구 산업로155번길 161(고색동),수원시 권선구 고색동 523-1,N,4,4,2,2,1,0,9,2,1,수원시 권선구 녹지공원과,031-228-6193,24시간,,,,지방자치단체,기타,수세식,여자,Y,여자화장실,,2020.9.3
공중화장실,중보들A,수원시 권선구 산업로155번길 161(고색동),수원시 권선구 고색동 523-1,N,3,3,2,2,1,0,6,2,1,수원시 권선구 녹지공원과,031-228-6193,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,맷돌,,수원시 권선구 호매실동 905-13,N,2,3,1,1,1,0,5,0,1,수원시 권선구 생활안전과,031-228-6340,07:00~21:00,,,,지방자치단체,기타,수세식,여자,Y,여자화장실,,2020.9.3
공중화장실,버드내,수원시 권선로564번길36(세류3동),수원시 권선구 세류3동 483,N,2,3,1,1,0,0,3,0,0,수원시 권선구 생활안전과,031-228-6340,07:00~21:00,,,,지방자치단체,기타,수세식,여자,Y,여자화장실,,2020.9.3
공중화장실,아가위,수원시 권선구 당진로 32번길65(당수동),수원시 권선구 당수동 177-13,N,2,3,1,1,0,1,3,0,0,수원시 권선구 생활안전과,031-228-6340,07:00~21:00,,,,지방자치단체,기타,수세식,여자,Y,여자화장실,,2020.9.3
공중화장실,다람쥐,,수원시 장안구 조원동 758-4,N,2,2,0,0,0,0,3,0,0,수원시 장안구 녹지공원과,031-228-5995,24시간,,,,지방자치단체,기타,수세식,여자,N,없음,,2020.9.3
공중화장실,조원,수원시 장안구 금당로38번길7(조원동),수원시 장안구 조원동 731,N,1,2,1,0,1,0,2,0,1,수원시 장안구 녹지공원과,031-228-5995,24시간,,,,지방자치단체,기타,수세식,여자,N,없음,,2020.9.3
공중화장실,그린타운,수원시 장안구 광교산로 13 (영화동),수원시 장안구 영화동 60,N,1,3,1,0,0,0,4,1,0,수원시 장안구 녹지공원과,031-228-5995,24시간,,,,지방자치단체,기타,수세식,여자,N,없음,,2020.9.3
공중화장실,광교쉼터,수원시 장안구 광교산로321 (하광교동),수원시 장안구 하광교동 203-2,N,1,2,0,0,0,0,1,1,0,수원시 장안구 녹지공원과,031-228-5995,24시간,,,,지방자치단체,기타,수세식,여자,N,없음,,2020.9.3
공중화장실,무지개,,수원시 장안구 영화동 412,N,2,3,1,1,0,0,3,0,0,수원시 장안구 녹지공원과,031-228-5995,24시간,,,,지방자치단체,기타,수세식,여자,N,없음,,2020.9.3
공중화장실,퉁소바위,,수원시 장안구 연무동 산21-1(퉁소바위공원),N,1,2,0,0,1,0,2,0,1,수원시 장안구 녹지공원과,031-228-5995,24시간,,,,지방자치단체,기타,수세식,여자,N,없음,,2020.9.3
공중화장실,교구정,,수원시 장안구 송죽동 434(제방앞),N,3,2,0,0,0,0,3,0,0,수원시 장안구 녹지공원과,031-228-5995,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,텃밭,,수원시 권선구 구운동56-1(일월공원),N,2,2,1,1,0,0,3,0,0,수원시 장안구 녹지공원과,031-228-5995,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,돌고래,,수원시 장안구 율전동 470-7,N,2,2,1,0,0,0,3,0,0,수원시 장안구 녹지공원과,031-228-5995,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
